headword,pronunciation
prześwitywać,ˌ p ʃ ɛ ɕ fʲ i ˈ t ɨ v a ʨ̑
przeźroczysty,ˌ p ʃ ɛ ʑ r ɔ ˈ t ʃ̑ ɨ s t ɨ
przeżuwacz,p ʃ ɛ ˈ ʒ u v a t ʃ̑
przeżywać,p ʃ ɛ ˈ ʒ ɨ v a ʨ̑
przeżyć,ˈ p ʃ ɛ ʒ ɨ ʨ̑
przodek,ˈ p ʃ ɔ d ɛ k
prztyczek,ˈ p ʃ t ɨ t ʃ̑ ɛ k
przy,p ʃ ɨ
przy-,p ʃ ɨ
przybankowy,ˌ p ʃ ɨ b ã ŋ ˈ k ɔ v ɨ
przybasenowy,ˌ p ʃ ɨ b a s ɛ̃ ˈ n ɔ v ɨ
przybazarowy,ˌ p ʃ ɨ b a z a ˈ r ɔ v ɨ
przybiblioteczny,ˌ p ʃ ɨ bʲ i b lʲ j ɔ ˈ t ɛ t ʃ̑ n ɨ
przybijać,p ʃ ɨ ˈ bʲ i j ä ʨ̑
przybity,p ʃ ɨ ˈ bʲ i t ɨ
przybić,ˈ p ʃ ɨ bʲ i ʨ̑
przybliżenie,ˌ p ʃ ɨ b lʲ i ˈ ʒ ɛ̃ ɲ ɛ
przyboczny,p ʃ ɨ ˈ b ɔ t ʃ̑ n ɨ
przyboiskowy,ˌ p ʃ ɨ b ɔ s u p j s u p i ˈ s k ɔ v ɨ
przybornik,p ʃ ɨ ˈ b ɔ rʲ ɲ i k
przybrzeżny,p ʃ ɨ ˈ b ʒ ɛ ʒ n ɨ
przybycie,p ʃ ɨ ˈ b ɨ ʨ̑ ɛ
przybywać,p ʃ ɨ ˈ b ɨ v a ʨ̑
przybyć,ˈ p ʃ ɨ b ɨ ʨ̑
przybój,ˈ p ʃ ɨ b u j
przybór,ˈ p ʃ ɨ b u r
przychodzenie,ˌ p ʃ ɨ x ɔ ˈ d z̑ ɛ̃ ɲ ɛ
przychodzić,p ʃ ɨ ˈ x ɔ ʥ̑ i ʨ̑
przychylnie,p ʃ ɨ ˈ x ɨ lʲ ɲ ɛ
przychylny,p ʃ ɨ ˈ x ɨ l n ɨ
przychówek,p ʃ ɨ ˈ x u v ɛ k
przycinać,p ʃ ɨ ˈ ʨ̑ ĩ n a ʨ̑
przycisk,ˈ p ʃ ɨ ʨ̑ i s k
przyciskanie,ˌ p ʃ ɨ ʨ̑ i ˈ s k ã ɲ ɛ
przyciskać,p ʃ ɨ ˈ ʨ̑ i s k a ʨ̑
przycisnąć,p ʃ ɨ ˈ ʨ̑ i s n ɔ̃ ɲ ʨ̑
przyciszanie,ˌ p ʃ ɨ ʨ̑ i ˈ ʃ ã ɲ ɛ
przyciągać,p ʃ ɨ ˈ ʨ̑ ɔ̃ ŋ ɡ a ʨ̑
przyciśnięcie,ˌ p ʃ ɨ ʨ̑ i ɕ ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
przycmentarny,ˌ p ʃ ɨ t s̑ m ɛ̃ n ˈ t a r n ɨ
przyczepianie,ˌ p ʃ ɨ t ʃ̑ ɛ ˈ pʲ j ä̃ ɲ ɛ
przyczepienie,ˌ p ʃ ɨ t ʃ̑ ɛ ˈ pʲ j ɛ̇̃ ɲ ɛ
przyczepić,p ʃ ɨ ˈ t ʃ̑ ɛ pʲ i ʨ̑
przyczyna,p ʃ ɨ ˈ t ʃ̑ ɨ̃ n a
przydatność,p ʃ ɨ ˈ d a t n ɔ ɕ ʨ̑
przydatny,p ʃ ɨ ˈ d a t n ɨ
przydawka,p ʃ ɨ ˈ d a f k a
przydomowy,ˌ p ʃ ɨ d ɔ̃ ˈ m ɔ v ɨ
przydrożny,p ʃ ɨ ˈ d r ɔ ʒ n ɨ
przyduży,p ʃ ɨ ˈ d u ʒ ɨ
przydział,ˈ p ʃ ɨ ʥ̑ a w
przydziałowy,ˌ p ʃ ɨ ʥ̑ a ˈ w ɔ v ɨ
przyfabryczny,ˌ p ʃ ɨ f a ˈ b r ɨ t ʃ̑ n ɨ
przygimnazjalny,ˌ p ʃ ɨ ɟ ĩ m n a ˈ zʲ j a l n ɨ
przygnębianie,ˌ p ʃ ɨ ɡ n ɛ̃ m ˈ bʲ j ä̃ ɲ ɛ
przygnębiać,p ʃ ɨ ɡ ˈ n ɛ̃ m bʲ j ä ʨ̑
przygnębiony,ˌ p ʃ ɨ ɡ n ɛ̃ m ˈ bʲ j ɔ̃ n ɨ
przygoda,p ʃ ɨ ˈ ɡ ɔ d a
przygodówka,ˌ p ʃ ɨ ɡ ɔ ˈ d u f k a
przygotowanie,ˌ p ʃ ɨ ɡ ɔ t ɔ ˈ v ã ɲ ɛ
przygotować,ˌ p ʃ ɨ ɡ ɔ ˈ t ɔ v a ʨ̑
przygotowywanie,ˌ p ʃ ɨ ɡ ɔ t ɔ v ɨ ˈ v ã ɲ ɛ
przygotowywać,ˌ p ʃ ɨ ɡ ɔ t ɔ ˈ v ɨ v a ʨ̑
przygruntowy,ˌ p ʃ ɨ ɡ r ũ n ˈ t ɔ v ɨ
przygrzać,ˈ p ʃ ɨ ɡ ʒ a ʨ̑
przygłuchy,p ʃ ɨ ˈ ɡ w u x ɨ
przyimek,p ʃ ɨ ˈ s u p j s u p ĩ m ɛ k
przyjaciel,p ʃ ɨ ˈ j ä ʨ̑ ɛ l
przyjacielski,ˌ p ʃ ɨ j ä ˈ ʨ̑ ɛ l sʲ c i
przyjacielskość,ˌ p ʃ ɨ j ä ˈ ʨ̑ ɛ l s k ɔ ɕ ʨ̑
przyjaciółeczka,ˌ p ʃ ɨ j ä ʨ̑ u ˈ w ɛ t ʃ̑ k a
przyjaciółka,ˌ p ʃ ɨ j ä ˈ ʨ̑ u w k a
przyjazny,p ʃ ɨ ˈ j a z n ɨ
przyjaźnie,p ʃ ɨ ˈ j ä ʑ ɲ ɛ
przyjaźnić,p ʃ ɨ ˈ j ä ʑ ɲ i ʨ̑ ɕ ɛ
przyjaźń,ˈ p ʃ ɨ j ä ɕ ɲ̊
przyjebanie,ˌ p ʃ ɨ j ɛ ˈ b ã ɲ ɛ
przyjebać,p ʃ ɨ ˈ j ɛ b a ʨ̑
przyjechać,p ʃ ɨ ˈ j ɛ x a ʨ̑
przyjemniaczek,ˌ p ʃ ɨ j ɛ̃ mʲ ˈ ɲ a t ʃ̑ ɛ k
przyjemnie,p ʃ ɨ ˈ j ɛ̃ mʲ ɲ ɛ
przyjemność,p ʃ ɨ ˈ j ɛ̃ m n ɔ ɕ ʨ̑
przyjemny,p ʃ ɨ ˈ j ɛ̃ m n ɨ
przyjezdny,p ʃ ɨ ˈ j ɛ z d n ɨ
przyjeziorny,ˌ p ʃ ɨ j ɛ̇ ˈ ʑ ɔ r n ɨ
przyjmowanie,ˌ p ʃ ɨ j m ɔ ˈ v ã ɲ ɛ
przyjmować,p ʃ ɨ j ˈ m ɔ v a ʨ̑
przyjąć,ˈ p ʃ ɨ j ɔ̇̃ ɲ ʨ̑
przyjęcie,p ʃ ɨ ˈ j ɛ̇̃ ɲ ʨ̑ ɛ
przyjście,ˈ p ʃ ɨ j ɕ ʨ̑ ɛ
przyjść,p ʃ ɨ j ɕ ʨ̑
przykatedralny,ˌ p ʃ ɨ k a t ɛ ˈ d r a l n ɨ
przykawiarniany,ˌ p ʃ ɨ k a vʲ j a rʲ ˈ ɲ ã n ɨ
przykazanie,ˌ p ʃ ɨ k a ˈ z ã ɲ ɛ
przykinowy,ˌ p ʃ ɨ c ĩ ˈ n ɔ v ɨ
przyklasztorny,ˌ p ʃ ɨ k l a ˈ ʃ t ɔ r n ɨ
przyklejać,p ʃ ɨ k ˈ l ɛ j ä ʨ̑
przyklubowy,ˌ p ʃ ɨ k l u ˈ b ɔ v ɨ
przykopalniany,ˌ p ʃ ɨ k ɔ p a lʲ ˈ ɲ ã n ɨ
przykoszarowy,ˌ p ʃ ɨ k ɔ ʃ a ˈ r ɔ v ɨ
przykościelny,ˌ p ʃ ɨ k ɔ ɕ ˈ ʨ̑ ɛ l n ɨ
przykro,ˈ p ʃ ɨ k r ɔ
przykrość,ˈ p ʃ ɨ k r ɔ ɕ ʨ̑
przykry,ˈ p ʃ ɨ k r ɨ
przykryć,ˈ p ʃ ɨ k r ɨ ʨ̑
przykręcać,p ʃ ɨ ˈ k r ɛ̃ n t s̑ a ʨ̑
przykręcić,p ʃ ɨ ˈ k r ɛ̃ ɲ ʨ̑ i ʨ̑
przykład,ˈ p ʃ ɨ k w a t
przylepeczka,ˌ p ʃ ɨ l ɛ ˈ p ɛ t ʃ̑ k a
przyleśny,p ʃ ɨ ˈ l ɛ ɕ n ɨ
przylipić,p ʃ ɨ ˈ lʲ i pʲ i ʨ̑
przylot,ˈ p ʃ ɨ l ɔ t
przylotniskowy,ˌ p ʃ ɨ l ɔ tʲ ɲ i ˈ s k ɔ v ɨ
przylądek,p ʃ ɨ ˈ l ɔ̃ n d ɛ k
przymagazynowy,ˌ p ʃ ɨ̃ m a ɡ a z ɨ̃ ˈ n ɔ v ɨ
przymarketowy,ˌ p ʃ ɨ̃ m a r k ɛ ˈ t ɔ v ɨ
przymiarka,p ʃ ɨ̃ ˈ mʲ j a r k a
przymierzalnia,ˌ p ʃ ɨ̃ mʲ j ɛ ˈ ʒ a lʲ ɲ a
przymierzać,p ʃ ɨ̃ ˈ mʲ j ɛ ʒ a ʨ̑
przymiot,ˈ p ʃ ɨ̃ mʲ j ɔ t
przymiotnik,p ʃ ɨ̃ ˈ mʲ j ɔ tʲ ɲ i k
przymiotnikowy,ˌ p ʃ ɨ̃ mʲ j ɔ tʲ ɲ i ˈ k ɔ v ɨ
przymknięcie,p ʃ ɨ̃ ˈ mʲ c ɲ ɛ̇̃ ɲ ʨ̑ ɛ
przymknąć,ˈ p ʃ ɨ̃ m k n ɔ̃ ɲ ʨ̑
przymocować,ˌ p ʃ ɨ̃ m ɔ ˈ t s̑ ɔ v a ʨ̑
przymorski,p ʃ ɨ̃ ˈ m ɔ r sʲ c i
przymostowy,ˌ p ʃ ɨ̃ m ɔ ˈ s t ɔ v ɨ
przymrozek,p ʃ ɨ̃ ˈ m r ɔ z ɛ k
przymulać,p ʃ ɨ̃ ˈ m u l a ʨ̑
przymus,ˈ p ʃ ɨ̃ m u s
przymykanie,ˌ p ʃ ɨ̃ m ɨ ˈ k ã ɲ ɛ
przymykać,p ʃ ɨ̃ ˈ m ɨ k a ʨ̑
przynajmniej,p ʃ ɨ̃ ˈ n a j mʲ ɲ ɛ̇ j
przynieść,ˈ p ʃ ɨ̃ ɲ ɛ̇ ɕ ʨ̑
przynosić,p ʃ ɨ̃ ˈ n ɔ ɕ i ʨ̑
przynoszenie,ˌ p ʃ ɨ̃ n ɔ ˈ ʃ ɛ̃ ɲ ɛ
przynudnawy,ˌ p ʃ ɨ̃ n u d ˈ n a v ɨ
przynudzanie,ˌ p ʃ ɨ̃ n u ˈ d z̑ ã ɲ ɛ
przyobozowy,ˌ p ʃ ɨ ɔ b ɔ ˈ z ɔ v ɨ
przyoceaniczny,ˌ p ʃ ɨ ɔ t s̑ ɛ ã ˈ ɲ i t ʃ̑ n ɨ
przyoddziałowy,ˌ p ʃ ɨ ɔ dʲ ʥ̑ a ˈ w ɔ v ɨ
przyogrodowy,ˌ p ʃ ɨ ɔ ɡ r ɔ ˈ d ɔ v ɨ
przyoperowy,ˌ p ʃ ɨ ɔ p ɛ ˈ r ɔ v ɨ
przyosiedlowy,ˌ p ʃ ɨ ɔ ɕ ɛ ˈ d l ɔ v ɨ
przypadać,p ʃ ɨ ˈ p a d a ʨ̑
przypadek,p ʃ ɨ ˈ p a d ɛ k
przypadkowo,ˌ p ʃ ɨ p a t ˈ k ɔ v ɔ
przypadkowy,ˌ p ʃ ɨ p a t ˈ k ɔ v ɨ
przypalać,p ʃ ɨ ˈ p a l a ʨ̑
przyparkingowy,ˌ p ʃ ɨ p a rʲ c ĩ ŋ ˈ ɡ ɔ v ɨ
przyparkowy,ˌ p ʃ ɨ p a r ˈ k ɔ v ɨ
przypałacowy,ˌ p ʃ ɨ p a w a ˈ t s̑ ɔ v ɨ
przypałowy,ˌ p ʃ ɨ p a ˈ w ɔ v ɨ
przypaść,ˈ p ʃ ɨ p a ɕ ʨ̑
przyperonowy,ˌ p ʃ ɨ p ɛ r ɔ̃ ˈ n ɔ v ɨ
przypieczętować,ˌ p ʃ ɨ pʲ j ɛ t ʃ̑ ɛ̃ n ˈ t ɔ v a ʨ̑
przypinać,p ʃ ɨ ˈ pʲ ĩ n a ʨ̑
przypisać,p ʃ ɨ ˈ pʲ i s a ʨ̑
przypisywać,ˌ p ʃ ɨ pʲ i ˈ s ɨ v a ʨ̑
przypiąć,ˈ p ʃ ɨ pʲ j ɔ̇̃ ɲ ʨ̑
przyplażowy,ˌ p ʃ ɨ p l a ˈ ʒ ɔ v ɨ
przypodłogowy,ˌ p ʃ ɨ p ɔ d w ɔ ˈ ɡ ɔ v ɨ
przypolny,p ʃ ɨ ˈ p ɔ l n ɨ
przypominanie,ˌ p ʃ ɨ p ɔ̃ mʲ ĩ ˈ n ã ɲ ɛ
przypominać,ˌ p ʃ ɨ p ɔ̃ ˈ mʲ ĩ n a ʨ̑
przypora,p ʃ ɨ ˈ p ɔ r a
przyportowy,ˌ p ʃ ɨ p ɔ r ˈ t ɔ v ɨ
przyprawa,p ʃ ɨ ˈ p r a v a
przyprawianie,ˌ p ʃ ɨ p r a ˈ vʲ j ä̃ ɲ ɛ
przyprawiać,p ʃ ɨ ˈ p r a vʲ j ä ʨ̑
przyprawić,p ʃ ɨ ˈ p r a vʲ i ʨ̑
przyprzedszkolny,ˌ p ʃ ɨ p ʃ ɛ ˈ ṭ ʃ k ɔ l n ɨ
przypuszczać,p ʃ ɨ ˈ p u ʃ t ʃ̑ a ʨ̑
przypłynąć,p ʃ ɨ ˈ p w ɨ̃ n ɔ̃ ɲ ʨ̑
przyrestauracyjny,ˌ p ʃ ɨ r ɛ s t a w r a ˈ t s̑ ɨ j n ɨ
przyroda,p ʃ ɨ ˈ r ɔ d a
przyrodni,p ʃ ɨ ˈ r ɔ dʲ ɲ i
przyrodnik,p ʃ ɨ ˈ r ɔ dʲ ɲ i k
przyrodzenie,ˌ p ʃ ɨ r ɔ ˈ d z̑ ɛ̃ ɲ ɛ
przyrostek,p ʃ ɨ ˈ r ɔ s t ɛ k
przyrynkowy,ˌ p ʃ ɨ r ɨ̃ ŋ ˈ k ɔ v ɨ
przyrzeczenie,ˌ p ʃ ɨ ʒ ɛ ˈ t ʃ̑ ɛ̃ ɲ ɛ
przyrzeczny,p ʃ ɨ ˈ ʒ ɛ t ʃ̑ n ɨ
przyrząd,ˈ p ʃ ɨ ʒ ɔ̃ n t
przyrządzać,p ʃ ɨ ˈ ʒ ɔ̃ n d z̑ a ʨ̑
przyrządzić,p ʃ ɨ ˈ ʒ ɔ̃ ɲ ʥ̑ i ʨ̑
przysada,p ʃ ɨ ˈ s a d a
przyschroniskowy,ˌ p ʃ ɨ s x r ɔ̃ ɲ i ˈ s k ɔ v ɨ
przysejmowy,ˌ p ʃ ɨ s ɛ j ˈ m ɔ v ɨ
przysiółek,p ʃ ɨ ˈ ɕ u w ɛ k
przysiąść,ˈ p ʃ ɨ ɕ ɔ̃ w̃ ɕ ʨ̑
przysięga,p ʃ ɨ ˈ ɕ ɛ̃ ŋ ɡ a
przysięganie,ˌ p ʃ ɨ ɕ ɛ̃ ŋ ˈ ɡ ã ɲ ɛ
przysięgać,p ʃ ɨ ˈ ɕ ɛ̃ ŋ ɡ a ʨ̑
przysklepowy,ˌ p ʃ ɨ s k l ɛ ˈ p ɔ v ɨ
przysnąć,ˈ p ʃ ɨ s n ɔ̃ ɲ ʨ̑
przyspieszać,p ʃ ɨ ˈ s pʲ j ɛ ʃ a ʨ̑
przyspieszenie,ˌ p ʃ ɨ s pʲ j ɛ ˈ ʃ ɛ̃ ɲ ɛ
przyspieszyć,p ʃ ɨ ˈ s pʲ j ɛ ʃ ɨ ʨ̑
przyssawka,p ʃ ɨ ˈ sː a f k a
przystacyjny,ˌ p ʃ ɨ s t a ˈ t s̑ ɨ j n ɨ
przystadionowy,ˌ p ʃ ɨ s t a dʲ j ɔ̃ ˈ n ɔ v ɨ
przystanek,p ʃ ɨ ˈ s t ã n ɛ k
przystawka,p ʃ ɨ ˈ s t a f k a
przystań,ˈ p ʃ ɨ s t ã ɲ
przystojeństwo,ˌ p ʃ ɨ s t ɔ ˈ j ɛ̇̃ j̃ s t f ɔ
przystojniak,p ʃ ɨ ˈ s t ɔ j ɲ a k
przystojny,p ʃ ɨ ˈ s t ɔ j n ɨ
przystosowany,ˌ p ʃ ɨ s t ɔ s ɔ ˈ v ã n ɨ
przystosować,ˌ p ʃ ɨ s t ɔ ˈ s ɔ v a ʨ̑
przystosowywanie,ˌ p ʃ ɨ s t ɔ s ɔ v ɨ ˈ v ã ɲ ɛ
przystępowanie,ˌ p ʃ ɨ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
przystępować,ˌ p ʃ ɨ s t ɛ̃ m ˈ p ɔ v a ʨ̑
przyswajanie,ˌ p ʃ ɨ s f a ˈ j ä̃ ɲ ɛ
przyswajać,p ʃ ɨ s ˈ f a j ä ʨ̑
przyswoić,p ʃ ɨ s ˈ f ɔ s u p j s u p i ʨ̑
przysyłać,p ʃ ɨ ˈ s ɨ w a ʨ̑
przyszkolny,p ʃ ɨ ˈ ʃ k ɔ l n ɨ
przyszpitalny,ˌ p ʃ ɨ ʃ pʲ i ˈ t a l n ɨ
przyszłoroczny,ˌ p ʃ ɨ ʃ w ɔ ˈ r ɔ t ʃ̑ n ɨ
przyszłotygodniowy,ˌ p ʃ ɨ ʃ w ɔ t ɨ ɡ ɔ dʲ ˈ ɲ ɔ v ɨ
przyszłość,ˈ p ʃ ɨ ʃ w ɔ ɕ ʨ̑
przyszły,ˈ p ʃ ɨ ʃ w ɨ
przysłaniać,p ʃ ɨ ˈ s w ã ɲ ä ʨ̑
przysłona,p ʃ ɨ ˈ s w ɔ̃ n a
przysłowie,p ʃ ɨ ˈ s w ɔ vʲ j ɛ
przysłowiowy,ˌ p ʃ ɨ s w ɔ ˈ vʲ j ɔ v ɨ
przysługa,p ʃ ɨ ˈ s w u ɡ a
przysłówek,p ʃ ɨ ˈ s w u v ɛ k
przytcza,ˈ p ʃ ɨ ṭ t ʃ̑ a
przyteatralny,ˌ p ʃ ɨ t ɛ a ˈ t r a l n ɨ
przytoczenie,ˌ p ʃ ɨ t ɔ ˈ t ʃ̑ ɛ̃ ɲ ɛ
przytomność,p ʃ ɨ ˈ t ɔ̃ m n ɔ ɕ ʨ̑
przytomny,p ʃ ɨ ˈ t ɔ̃ m n ɨ
przytorowy,ˌ p ʃ ɨ t ɔ ˈ r ɔ v ɨ
przytulanie,ˌ p ʃ ɨ t u ˈ l ã ɲ ɛ
przytulać,p ʃ ɨ ˈ t u l a ʨ̑
przytulić,p ʃ ɨ ˈ t u lʲ i ʨ̑
przytwierdzanie,ˌ p ʃ ɨ t fʲ j ɛ r ˈ d z̑ ã ɲ ɛ
przytwierdzenie,ˌ p ʃ ɨ t fʲ j ɛ r ˈ d z̑ ɛ̃ ɲ ɛ
przytyć,ˈ p ʃ ɨ t ɨ ʨ̑
przyuczelniany,ˌ p ʃ ɨ s u p w s u p u t ʃ̑ ɛ lʲ ˈ ɲ ã n ɨ
przyuliczny,ˌ p ʃ ɨ s u p w s u p u ˈ lʲ i t ʃ̑ n ɨ
przyuniwersytecki,ˌ p ʃ ɨ s u p w s u p ũ ɲ i v ɛ r s ɨ ˈ t ɛ t s̑ʲ c i
przywałowy,ˌ p ʃ ɨ v a ˈ w ɔ v ɨ
przywilej,p ʃ ɨ ˈ vʲ i l ɛ j
przywitanie,ˌ p ʃ ɨ vʲ i ˈ t ã ɲ ɛ
przywitać,p ʃ ɨ ˈ vʲ i t a ʨ̑
przywiązanie,ˌ p ʃ ɨ vʲ j ɔ̃ w̃ ˈ z ã ɲ ɛ
przywiązać,p ʃ ɨ ˈ vʲ j ɔ̃ w̃ z a ʨ̑
przywiązywać,ˌ p ʃ ɨ vʲ j ɔ̃ w̃ ˈ z ɨ v a ʨ̑
przywięzienny,ˌ p ʃ ɨ vʲ j ɛ̃ w̃ ˈ ʑ ɛ̃ nː ɨ
przywołać,p ʃ ɨ ˈ v ɔ w a ʨ̑
przywoływanie,ˌ p ʃ ɨ v ɔ w ɨ ˈ v ã ɲ ɛ
przywoływać,ˌ p ʃ ɨ v ɔ ˈ w ɨ v a ʨ̑
przywrócenie,ˌ p ʃ ɨ v r u ˈ t s̑ ɛ̃ ɲ ɛ
przywrócić,p ʃ ɨ ˈ v r u ʨ̑ i ʨ̑
przywyknąć,p ʃ ɨ ˈ v ɨ k n ɔ̃ ɲ ʨ̑
przywódca,p ʃ ɨ ˈ v u t t s̑ a
przywłaszczyć,p ʃ ɨ v ˈ w a ʃ t ʃ̑ ɨ ʨ̑
przyzakładowy,ˌ p ʃ ɨ z a k w a ˈ d ɔ v ɨ
przyzamkowy,ˌ p ʃ ɨ z ã m ˈ k ɔ v ɨ
przyznanie,p ʃ ɨ ˈ z n ã ɲ ɛ
przyznawanie,ˌ p ʃ ɨ z n a ˈ v ã ɲ ɛ
przyznawać,p ʃ ɨ z ˈ n a v a ʨ̑
przyznać,ˈ p ʃ ɨ z n a ʨ̑
przyzwoicie,ˌ p ʃ ɨ z v ɔ ˈ s u p j s u p i ʨ̑ ɛ
przyzwoitka,ˌ p ʃ ɨ z v ɔ ˈ s u p j s u p i t k a
przyzwoity,ˌ p ʃ ɨ z v ɔ ˈ s u p j s u p i t ɨ
przyzwolenie,ˌ p ʃ ɨ z v ɔ ˈ l ɛ̃ ɲ ɛ
przyzwolić,p ʃ ɨ z ˈ v ɔ lʲ i ʨ̑
przyzwyczaić,ˌ p ʃ ɨ z v ɨ ˈ t ʃ̑ a s u p j s u p i ʨ̑
przyzębie,p ʃ ɨ ˈ z ɛ̃ m bʲ j ɛ
przyłożyć,p ʃ ɨ ˈ w ɔ ʒ ɨ ʨ̑
przyłącze,p ʃ ɨ ˈ w ɔ̃ n͇ t ʃ̑ ɛ
przyśpieszacz,p ʃ ɨ ɕ ˈ pʲ j ɛ ʃ a t ʃ̑
przyśpieszać,p ʃ ɨ ɕ ˈ pʲ j ɛ ʃ a ʨ̑
przyśpieszenie,ˌ p ʃ ɨ ɕ pʲ j ɛ ˈ ʃ ɛ̃ ɲ ɛ
przyśpieszyć,p ʃ ɨ ˈ ɕ pʲ j ɛ ʃ ɨ ʨ̑
przyświecać,p ʃ ɨ ɕ ˈ fʲ j ɛ t s̑ a ʨ̑
przód,p ʃ u t
prządka,ˈ p ʃ ɔ̃ n t k a
przędny,ˈ p ʃ ɛ̃ n d n ɨ
przędza,ˈ p ʃ ɛ̃ n d z̑ a
przędzalnia,p ʃ ɛ̃ n ˈ d z̑ a lʲ ɲ a
przęsło,ˈ p ʃ ɛ̃ w̃ s w ɔ
próba,ˈ p r u b a
próbka,ˈ p r u p k a
próbny,ˈ p r u b n ɨ
próbowanie,ˌ p r u b ɔ ˈ v ã ɲ ɛ
próbować,p r u ˈ b ɔ v a ʨ̑
próbowny,p r u ˈ b ɔ v n ɨ
prócz,p r u t ʃ̑
próg,p r u k
próżnia,ˈ p r u ʒʲ ɲ a
próżniusieńki,ˌ p r u ʒʲ ɲ ü ˈ ɕ ɛ̇̃ ɲ c i
próżniuteńki,ˌ p r u ʒʲ ɲ u ˈ t ɛ̃ ɲ c i
próżniutki,p r u ʒʲ ˈ ɲ u tʲ c i
próżnować,p r u ʒ ˈ n ɔ v a ʨ̑
próżność,ˈ p r u ʒ n ɔ ɕ ʨ̑
próżny,ˈ p r u ʒ n ɨ
prącie,ˈ p r ɔ̃ ɲ ʨ̑ ɛ
prąd,p r ɔ̃ n t
prądnica,p r ɔ̃ n dʲ ˈ ɲ i t s̑ a
pręcik,ˈ p r ɛ̃ ɲ ʨ̑ i k
prędki,ˈ p r ɛ̃ n tʲ c i
prędko,ˈ p r ɛ̃ n t k ɔ
prędkościomierz,ˌ p r ɛ̃ n t k ɔ ɕ ˈ ʨ̑ ɔ̃ mʲ j ɛ ʃ
prędkość,ˈ p r ɛ̃ n t k ɔ ɕ ʨ̑
prędziutki,p r ɛ̃ ɲ ˈ ʥ̑ u tʲ c i
pręgierz,ˈ p r ɛ̃ ŋʲ ɟ ɛ ʃ
pręt,p r ɛ̃ n t
ps,p a r ˈ s ɛ k u f
ps.,p s ɛ w ˈ d ɔ̃ ɲ ĩ m
psalm,p s a l m
psamit,ˈ p s ã mʲ i t
psarski,ˈ p s a r sʲ c i
psefit,ˈ p s ɛ fʲ i t
pseud.,p s ɛ w ˈ d ɔ̃ ɲ ĩ m
pseudohodowca,ˌ p s ɛ w d ɔ x ɔ ˈ d ɔ f t s̑ a
pseudohodowla,ˌ p s ɛ w d ɔ x ɔ ˈ d ɔ v l a
pseudolekarz,ˌ p s ɛ w d ɔ ˈ l ɛ k a ʃ
pseudonauka,ˌ p s ɛ w d ɔ̃ n a ˈ s u p w s u p u k a
pseudonim,p s ɛ w ˈ d ɔ̃ ɲ ĩ m
psi,p sʲ i
psi,pʲ ɕ i
psiaczek,ˈ pʲ ɕ a t ʃ̑ ɛ k
psiak,pʲ ɕ a k
psianka,ˈ pʲ ɕ ã n k a
psiara,ˈ pʲ ɕ a r a
psiarnia,ˈ pʲ ɕ a rʲ ɲ a
psiarz,pʲ ɕ a ʃ
psik,pʲ ɕ i k
psikus,ˈ pʲ ɕ i k u s
psina,ˈ pʲ ɕ ĩ n a
psinka,ˈ pʲ ɕ ĩ n k a
psioczyć,ˈ pʲ ɕ ɔ t ʃ̑ ɨ ʨ̑
psiogłowiec,pʲ ɕ ɔ ɡ ˈ w ɔ vʲ j ɛ t s̑
psisko,ˈ pʲ ɕ i s k ɔ
pskowski,ˈ p s k ɔ f sʲ c i
psor,p s ɔ r
psorka,ˈ p s ɔ r k a
psotnik,ˈ p s ɔ tʲ ɲ i k
psowate,p s ɔ ˈ v a t ɛ
pstrogłowy,p s t r ɔ ˈ ɡ w ɔ v ɨ
pstrokacizna,ˌ p s t r ɔ k a ˈ ʨ̑ i z n a
pstrokaty,p s t r ɔ ˈ k a t ɨ
pstropióry,p s t r ɔ ˈ pʲ j u r ɨ
pstroskrzydły,p s t r ɔ s ˈ k ʃ ɨ d w ɨ
pstry,p s t r ɨ
pstryczek,ˈ p s t r ɨ t ʃ̑ ɛ k
pstrąg,p s t r ɔ̃ ŋ k
psuj,p s u j
psuć,p s u ʨ̑
psychiatra,p s ɨ ˈ ç j a t r a
psychiatria,p s ɨ ˈ ç j a t rʲ j a
psychiatryk,p s ɨ ˈ ç j a t r ɨ k
psychiczniak,p s ɨ ˈ ç i t ʃ̑ʲ ɲ a k
psychiczny,p s ɨ ˈ ç i t ʃ̑ n ɨ
psychika,ˈ p s ɨ ç i k a
psycho-,ˈ p s ɨ x ɔ
psychol,ˈ p s ɨ x ɔ l
psycholingwistyka,ˌ p s ɨ x ɔ lʲ ĩ ŋ ɡ ˈ vʲ i s t ɨ k a
psycholog,p s ɨ ˈ x ɔ l ɔ k
psychologia,ˌ p s ɨ x ɔ ˈ l ɔ ɟ j a
psychologiczny,ˌ p s ɨ x ɔ l ɔ ˈ ɟ i t ʃ̑ n ɨ
psychopata,ˌ p s ɨ x ɔ ˈ p a t a
psychopatka,ˌ p s ɨ x ɔ ˈ p a t k a
psychopatyczny,ˌ p s ɨ x ɔ p a ˈ t ɨ t ʃ̑ n ɨ
psychopomp,p s ɨ ˈ x ɔ p ɔ̃ m p
psychosocjolog,ˌ p s ɨ x ɔ s ɔ ˈ t s̑ʲ j ɔ l ɔ k
