aah,ˈ ɑː
propitiate,p ɹ ə p ˈ ɪ t ɪ ˌ eɪ t
propitious,p ɹ ə p ˈ ɪ ʃ ə s
proponent,p ɹ ə p ˈ əʊ n ə n t
proponents,p ɹ ə p ˈ əʊ n ə n t s
proportionable,p ɹ ə p ˈ ɔː ʃ ə n ə b ə l
proportionality,p ɹ ə p ˌ ɔː ʃ ə n ˈ æ l ɪ t i
proportionally,p ɹ ə p ˈ ɔː ʃ ə n ə l i
proportional,p ɹ ə p ˈ ɔː ʃ ə n ə l
proportionately,p ɹ ə p ˈ ɔː ʃ ə n ə t l i
proportioned,p ɹ ə p ˈ ɔː ʃ ə n d
proportion,p ɹ ə p ˈ ɔː ʃ ə n
proportions,p ɹ ə p ˈ ɔː ʃ ə n z
proposal,p ɹ ə p ˈ əʊ z ə l
proposals,p ɹ ə p ˈ əʊ z ə l z
proposed,p ɹ ə p ˈ əʊ z d
propose,p ɹ ə p ˈ əʊ z
proposer,p ɹ ə p ˈ əʊ z ɐ
proposers,p ɹ ə p ˈ əʊ z ə z
proposes,p ɹ ə p ˈ əʊ z ɪ z
proposing,p ɹ ə p ˈ əʊ z ɪ ŋ
propositioned,p ɹ ˌ ɒ p ə z ˈ ɪ ʃ ə n d
propositioning,p ɹ ˌ ɒ p ə z ˈ ɪ ʃ ə n ɪ ŋ
proposition,p ɹ ˌ ɒ p ə z ˈ ɪ ʃ ə n
propositions,p ɹ ˌ ɒ p ə z ˈ ɪ ʃ ə n z
propounded,p ɹ ə p ˈ aʊ n d ɪ d
propounding,p ɹ ə p ˈ aʊ n d ɪ ŋ
propound,p ɹ ə p ˈ aʊ n d
propped,p ɹ ˈ ɒ p t
propping,p ɹ ˈ ɒ p ɪ ŋ
prop,p ɹ ˈ ɒ p
proprietary,p ɹ ə p ɹ ˈ aɪ ə t ə ɹ i
proprieties,p ɹ ə p ɹ ˈ aɪ ə t ɪ z
proprietorially,p ɹ ə p ɹ aɪ ə t ˈ ɔː ɹ ɪə l i
proprietorial,p ɹ ə p ɹ aɪ ə t ˈ ɔː ɹ ɪə l
proprietor,p ɹ ə p ɹ ˈ aɪ ə t ɐ
proprietors,p ɹ ə p ɹ ˈ aɪ ə t ə z
proprietress,p ɹ ə p ɹ ˈ aɪ ə t ɹ ə s
propriety,p ɹ ə p ɹ ˈ aɪ ə t i
proprioception,p ɹ ˌ ɒ p ɹ ɪ ˈ əʊ s p ʃ ə n
props,p ɹ ˈ ɒ p s
propulsion,p ɹ ə p ˈ ʌ l ʃ ə n
propulsive,p ɹ ə p ˈ ʌ l s ɪ v
propylene,p ɹ ˈ əʊ p aɪ l ˌ iː n
prorogation,p ɹ ˌ ɔː ɹ ə ɡ ˈ eɪ ʃ ə n
prorogued,p ɹ ˈ ɔː ɹ əʊ ɡ d
prorogue,p ɹ ˈ ɔː ɹ əʊ ɡ
prosaically,p ɹ ə s ˈ eɪ ɪ k l i
prosaic,p ɹ ə s ˈ eɪ ɪ k
proscenium,p ɹ ə s ˈ iː n i ə m
prosciutto,p ɹ ə s ɪ ˈ ʌ t əʊ
proscribed,p ɹ ə s k ɹ ˈ aɪ b d
proscribe,p ɹ ə s k ɹ ˈ aɪ b
proscription,p ɹ ə s k ɹ ˈ ɪ p ʃ ə n
proscriptions,p ɹ ə s k ɹ ˈ ɪ p ʃ ə n z
proscriptive,p ɹ ə s k ɹ ˈ ɪ p t ɪ v
prosecutable,p ɹ ˈ ɒ s ɪ k j ˌ uː t ə b ə l
prosecuted,p ɹ ˈ ɒ s ɪ k j ˌ uː t ɪ d
prosecute,p ɹ ˈ ɒ s ɪ k j ˌ uː t
prosecutes,p ɹ ˈ ɒ s ɪ k j ˌ uː t s
prosecuting,p ɹ ˈ ɒ s ɪ k j ˌ uː t ɪ ŋ
prosecution,p ɹ ˌ ɒ s ɪ k j ˈ uː ʃ ə n
prosecutions,p ɹ ˌ ɒ s ɪ k j ˈ uː ʃ ə n z
prosecutor,p ɹ ˈ ɒ s ɪ k j ˌ uː t ɐ
prosecutors,p ɹ ˈ ɒ s ɪ k j ˌ uː t ə z
proselytise,p ɹ ˈ ɒ s l ɪ t ˌ aɪ z
proselytising,p ɹ ˈ ɒ s l ɪ t ˌ aɪ z ɪ ŋ
prose,p ɹ ˈ əʊ z
prosit,p ɹ ˈ ɒ s ɪ t
prospected,p ɹ ˈ ɒ s p ɛ k t ɪ d
prospecting,p ɹ ˈ ɒ s p ɛ k t ɪ ŋ
prospectively,p ɹ ə s p ˈ ɛ k t ɪ v l i
prospective,p ɹ ə s p ˈ ɛ k t ɪ v
prospector,p ɹ ə s p ˈ ɛ k t ɐ
prospectors,p ɹ ə s p ˈ ɛ k t ə z
prospectuses,p ɹ ə s p ˈ ɛ k t ə s ɪ z
prospectus,p ɹ ə s p ˈ ɛ k t ə s
prospered,p ɹ ˈ ɒ s p ə d
prospering,p ɹ ˈ ɒ s p ə ɹ ɪ ŋ
prosperity,p ɹ ə s p ˈ ɛ ɹ ɪ t i
prosperous,p ɹ ˈ ɒ s p ə ɹ ə s
prosper,p ɹ ˈ ɒ s p ɐ
prospers,p ɹ ˈ ɒ s p ə z
pros,p ɹ ˈ əʊ z
prostate,p ɹ ˈ ɒ s t eɪ t
prostates,p ɹ ˈ ɒ s t eɪ t s
prostatic,p ɹ ə s t ˈ æ t ɪ k
prostheses,p ɹ ˈ ɒ s θ ə s ˌ iː z
prosthesis,p ɹ ˈ ɒ s θ ə s ˌ ɪ s
prosthetic,p ɹ ə s θ ˈ ɛ t ɪ k
prosthetics,p ɹ ə s θ ˈ ɛ t ɪ k s
prostituted,p ɹ ˈ ɒ s t ɪ t j ˌ uː t ɪ d
prostitute,p ɹ ˈ ɒ s t ɪ t j ˌ uː t
prostitutes,p ɹ ˈ ɒ s t ɪ t j ˌ uː t s
prostituting,p ɹ ˈ ɒ s t ɪ t j ˌ uː t ɪ ŋ
prostitution,p ɹ ˌ ɒ s t ɪ t j ˈ uː ʃ ə n
prostrated,p ɹ ˈ ɒ s t ɹ eɪ t ɪ d
prostrating,p ɹ ˈ ɒ s t ɹ eɪ t ɪ ŋ
prostration,p ɹ ə s t ɹ ˈ eɪ ʃ ə n
protactinium,p ɹ ˌ əʊ t ɐ k t ˈ ɪ n i ə m
protagonist,p ɹ əʊ t ˈ æ ɡ ə n ˌ ɪ s t
protagonists,p ɹ əʊ t ˈ æ ɡ ə n ˌ ɪ s t s
protamine,p ɹ ˈ əʊ t ɐ m ˌ iː n
protean,p ɹ əʊ t ˈ i ə n
protease,p ɹ ˈ əʊ t eɪ s
protected,p ɹ ə t ˈ ɛ k t ɪ d
protecting,p ɹ ə t ˈ ɛ k t ɪ ŋ
protectionism,p ɹ ə t ˈ ɛ k ʃ ə n ˌ ɪ z ə m
protectionist,p ɹ ə t ˈ ɛ k ʃ ə n ˌ ɪ s t
protectionists,p ɹ ə t ˈ ɛ k ʃ ə n ˌ ɪ s t s
protection,p ɹ ə t ˈ ɛ k ʃ ə n
protections,p ɹ ə t ˈ ɛ k ʃ ə n z
protectively,p ɹ ə t ˈ ɛ k t ɪ v l i
protectiveness,p ɹ ə t ˈ ɛ k t ɪ v n ə s
protective,p ɹ ə t ˈ ɛ k t ɪ v
protectorate,p ɹ ə t ˈ ɛ k t ə ɹ ˌ eɪ t
protectorates,p ɹ ə t ˈ ɛ k t ə ɹ ˌ eɪ t s
protector,p ɹ ə t ˈ ɛ k t ɐ
protectors,p ɹ ə t ˈ ɛ k t ə z
protect,p ɹ ə t ˈ ɛ k t
protects,p ɹ ə t ˈ ɛ k t s
protein,p ɹ ˈ əʊ t iː n
proteins,p ɹ ˈ əʊ t iː n z
protestant,p ɹ ˈ ɒ t ɪ s t ə n t
protestants,p ɹ ˈ ɒ t ɪ s t ə n t s
protestation,p ɹ ə t ɪ s t ˈ eɪ ʃ ə n
protestations,p ɹ ə t ɪ s t ˈ eɪ ʃ ə n z
protested,p ɹ ə t ˈ ɛ s t ɪ d
protester,p ɹ ə t ˈ ɛ s t ɐ
protesters,p ɹ ə t ˈ ɛ s t ə z
protesting,p ɹ ə t ˈ ɛ s t ɪ ŋ
protestor,p ɹ ə t ˈ ɛ s t ɐ
protestors,p ɹ ə t ˈ ɛ s t ə z
prothesis,p ɹ ˈ ɒ θ ə s ˌ ɪ s
prothrombin,p ɹ ˈ ɒ θ ɹ ə m b ˌ ɪ n
protists,p ɹ ˈ ɒ t ɪ s t s
protocol,p ɹ ˈ əʊ t ə k ˌ ɒ l
protocols,p ɹ ˈ əʊ t ə k ˌ ɒ l z
proton,p ɹ ˈ əʊ t ɒ n
protons,p ɹ ˈ əʊ t ɒ n z
protoplasm,p ɹ ˈ əʊ t əʊ p l ˌ æ z ə m
prototyped,p ɹ ˈ əʊ t əʊ t ˌ aɪ p d
prototype,p ɹ ˈ əʊ t əʊ t ˌ aɪ p
prototypes,p ɹ ˈ əʊ t əʊ t ˌ aɪ p s
prototypical,p ɹ ˌ əʊ t əʊ t ˈ ɪ p ɪ k ə l
prototyping,p ɹ ˈ əʊ t əʊ t ˌ aɪ p ɪ ŋ
protozoan,p ɹ ˈ əʊ t əʊ z ˌ əʊ n
protozoa,p ɹ ˌ əʊ t əʊ z ˈ əʊ ɐ
protracted,p ɹ ə t ɹ ˈ æ k t ɪ d
protractor,p ɹ ə t ɹ ˈ æ k t ɐ
protractors,p ɹ ə t ɹ ˈ æ k t ə z
protruded,p ɹ ə t ɹ ˈ uː d ɪ d
protrude,p ɹ ə t ɹ ˈ uː d
protrudes,p ɹ ə t ɹ ˈ uː d z
protruding,p ɹ ə t ɹ ˈ uː d ɪ ŋ
protrusion,p ɹ ə t ɹ ˈ uː ʒ ə n
protrusions,p ɹ ə t ɹ ˈ uː ʒ ə n z
protuberance,p ɹ ə t j ˈ uː b ə ɹ ə n s
protuberances,p ɹ ə t j ˈ uː b ə ɹ ə n s ɪ z
protuberant,p ɹ ə t j ˈ uː b ə ɹ ə n t
prouder,p ɹ ˈ aʊ d ɐ
proudest,p ɹ ˈ aʊ d ə s t
proudly,p ɹ ˈ aʊ d l i
proudness,p ɹ ˈ aʊ d n ə s
proud,p ɹ ˈ aʊ d
provable,p ɹ ˈ uː v ə b ə l
provably,p ɹ ˈ uː v ə b l i
proved,p ɹ ˈ uː v d
provenance,p ɹ ˈ uː v n ə n s
provenances,p ɹ ˈ uː v n ə n s ɪ z
provender,p ɹ ˈ uː v n d ɐ
proven,p ɹ ˈ uː v ə n
prove,p ɹ ˈ uː v
proverbially,p ɹ ə v ˈ ɜː b ɪə l i
proverbial,p ɹ ə v ˈ ɜː b ɪə l
proverb,p ɹ ˈ ɒ v ɜː b
proverbs,p ɹ ˈ ɒ v ɜː b z
prover,p ɹ ˈ uː v ɐ
proves,p ɹ ˈ uː v z
provided,p ɹ ə v ˈ aɪ d ɪ d
providence,p ɹ ˈ ɒ v ɪ d ə n s
providential,p ɹ ˌ ɒ v ɪ d ˈ ɛ n ʃ ə l
provident,p ɹ ˈ ɒ v ɪ d ə n t
provide,p ɹ ə v ˈ aɪ d
provider,p ɹ ə v ˈ aɪ d ɐ
providers,p ɹ ə v ˈ aɪ d ə z
provides,p ɹ ə v ˈ aɪ d z
providing,p ɹ ə v ˈ aɪ d ɪ ŋ
province,p ɹ ˈ ɒ v ɪ n s
provinces,p ɹ ˈ ɒ v ɪ n s ɪ z
provincially,p ɹ ə v ˈ ɪ n ʃ ə l ˌ i
provincial,p ɹ ə v ˈ ɪ n ʃ ə l
provincials,p ɹ ə v ˈ ɪ n ʃ ə l z
proving,p ɹ ˈ uː v ɪ ŋ
provisionally,p ɹ ə v ˈ ɪ ʒ ə n ə l i
provisional,p ɹ ə v ˈ ɪ ʒ ə n ə l
provisioned,p ɹ ə v ˈ ɪ ʒ ə n d
provisioning,p ɹ ə v ˈ ɪ ʒ ə n ɪ ŋ
provision,p ɹ ə v ˈ ɪ ʒ ə n
provisions,p ɹ ə v ˈ ɪ ʒ ə n z
proviso,p ɹ ə v ˈ aɪ z əʊ
provisos,p ɹ ə v ˈ aɪ z əʊ z
provocateur,p ɹ ə v ˌ ɒ k ɐ t ˈ ɜː
provocateurs,p ɹ ə v ˌ ɒ k ɐ t ˈ ɜː z
provocation,p ɹ ɒ v ə k ˈ eɪ ʃ ə n
provocations,p ɹ ɒ v ə k ˈ eɪ ʃ ə n z
provocatively,p ɹ ə v ˈ ɒ k ə t ˌ ɪ v l i
provocative,p ɹ ə v ˈ ɒ k ə t ˌ ɪ v
provoked,p ɹ ə v ˈ əʊ k t
provoke,p ɹ ə v ˈ əʊ k
provokes,p ɹ ə v ˈ əʊ k s
provoking,p ɹ ə v ˈ əʊ k ɪ ŋ
provolone,p ɹ ˈ ɒ v ə l ˌ əʊ n
provost,p ɹ ˈ ɒ v ɒ s t
provosts,p ɹ ˈ ɒ v ɒ s t s
prowess,p ɹ ˈ aʊ ɛ s
prowled,p ɹ ˈ aʊ l d
prowler,p ɹ ˈ aʊ l ɐ
prowlers,p ɹ ˈ aʊ l ə z
prowling,p ɹ ˈ aʊ l ɪ ŋ
prowl,p ɹ ˈ aʊ l
prowls,p ɹ ˈ aʊ l z
prow,p ɹ ˈ aʊ
prows,p ɹ ˈ aʊ z
proxies,p ɹ ˈ ɒ k s ɪ z
proximal,p ɹ ˈ ɒ k s ɪ m ə l
proximate,p ɹ ˈ ɒ k s ɪ m ˌ eɪ t
proximity,p ɹ ɒ k s ˈ ɪ m ɪ t i
proximo,p ɹ ɒ k s ˈ ɪ m əʊ
proxy,p ɹ ˈ ɒ k s i
prudence,p ɹ ˈ uː d ə n s
prudential,p ɹ uː d ˈ ɛ n ʃ ə l
prudently,p ɹ ˈ uː d ə n t l i
prudent,p ɹ ˈ uː d ə n t
prude,p ɹ ˈ uː d
prudery,p ɹ ˈ uː d ə ɹ i
prudes,p ɹ ˈ uː d z
prudishness,p ɹ ˈ uː d ɪ ʃ n ə s
prudish,p ɹ ˈ uː d ɪ ʃ
pruned,p ɹ ˈ uː n d
prunella,p ɹ ʌ n ˈ ɛ l ɐ
prune,p ɹ ˈ uː n
pruners,p r j ˈ uː n ə z
prunes,p ɹ ˈ uː n z
pruning,p ɹ ˈ uː n ɪ ŋ
prurience,p ɹ ˈ ɔː ɹ i ə n s
prurient,p ɹ ˈ ɔː ɹ i ə n t
prussic,p ɹ ˈ ʌ s ɪ k
pryer,p ɹ ˈ aɪ ɐ
prying,p ɹ ˈ aɪ ɪ ŋ
pry,p ɹ ˈ aɪ
psalmist,s ˈ ɑː m ɪ s t
psalmists,s ˈ ɑː m ɪ s t s
psalmody,s ˈ ɑː m ə d i
psalm,s ˈ ɑː m
psalms,s ˈ ɑː m z
psalter,s ˈ ɒ l t ɐ
psaltery,s ˈ ɒ l t ə ɹ i
psephological,s ˌ ɛ f ə l ˈ ɒ d ʒ ɪ k ə l
psephologist,s ɛ f ˈ ɒ l ə d ʒ ˌ ɪ s t
psephologists,s ɛ f ˈ ɒ l ə d ʒ ˌ ɪ s t s
psephology,s ɛ f ˈ ɒ l ə d ʒ i
pseudonyms,s ˈ uː d əʊ n ˌ ɪ m z
pseudonym,s ˈ uː d əʊ n ˌ ɪ m
pseudoscience,s ˈ uː d əʊ s ˌ aɪ ə n s
pseudo,s ˈ uː d əʊ
pshaw,p ˈ iː ʃ ˈ ɔː
psi,s ˈ aɪ
psoriasis,s ˈ ɔː ɹ ɪ ˌ æ s i z
ps,p ˌ iː ˈ ɛ s
psst,p s s t
psychedelia,s ˌ aɪ k ɪ d ˈ iː l i ə
psychedelically,s ˌ aɪ k ɪ d ˈ ɛ l ɪ k l i
psychedelic,s ˌ aɪ k ɪ d ˈ ɛ l ɪ k
psychedelics,s ˌ aɪ k ɪ d ˈ ɛ l ɪ k s
psyched,s ˈ aɪ k d
psyche,s ˈ aɪ k iː
psyches,s ˈ aɪ k iː ɪ z
psychiatric,s ˌ aɪ k ɪ ˈ æ t ɹ ɪ k
psychiatrist,s aɪ k ˈ aɪ ə t ɹ ɪ s t
psychiatrists,s aɪ k ˈ aɪ ə t ɹ ɪ s t s
psychiatry,s aɪ k ˈ aɪ ə t ɹ i
psychically,s ˈ aɪ k ɪ k l i
psychical,s ˈ aɪ k ɪ k ə l
psychic,s ˈ aɪ k ɪ k
psychics,s ˈ aɪ k ɪ k s
psyching,s ˈ aɪ k ɪ ŋ
psychoactive,s ˌ aɪ k əʊ ˈ æ k t ɪ v
psychoanalysed,s ˈ aɪ k əʊ ˌ æ n ɐ l ˌ aɪ z d
psychoanalyse,s ˈ aɪ k əʊ ˌ æ n ɐ l ˌ aɪ z
psychoanalysis,s ˌ aɪ k əʊ ɐ n ˈ æ l ə s ˌ ɪ s
psychoanalyst,s ˈ aɪ k əʊ ˌ æ n ɐ l ˌ ɪ s t
psychoanalysts,s ˈ aɪ k əʊ ˌ æ n ɐ l ˌ ɪ s t s
psychoanalytical,s ˌ aɪ k əʊ ˌ æ n ɐ l ˈ ɪ t ɪ k ə l
psychoanalytic,s ˌ aɪ k əʊ ˌ æ n ɐ l ˈ ɪ t ɪ k
psychobabble,s ˈ aɪ k əʊ b ˌ æ b ə l
psychodrama,s ˌ aɪ k əʊ d ɹ ˈ ɑː m ɐ
psycholinguistics,s ˌ aɪ k əʊ l ɪ ŋ ɡ w ˈ ɪ s t ɪ k s
psychologically,s aɪ k ə l ˈ ɒ d ʒ ɪ k l i
psychological,s aɪ k ə l ˈ ɒ d ʒ ɪ k ə l
psychologies,s aɪ k ˈ ɒ l ə d ʒ ɪ z
psychologist,s aɪ k ˈ ɒ l ə d ʒ ˌ ɪ s t
psychologists,s aɪ k ˈ ɒ l ə d ʒ ˌ ɪ s t s
psychology,s aɪ k ˈ ɒ l ə d ʒ i
psychometric,s ˌ aɪ k əʊ m ˈ ɛ t ɹ ɪ k
psychometrics,s ˌ aɪ k əʊ m ˈ ɛ t ɹ ɪ k s
psychometry,s aɪ k ˈ əʊ m ə t ɹ i
psychoneuroses,s ˈ aɪ k əʊ n j ˌ uː ɹ əʊ z ɪ z
psychopathic,s ˌ aɪ k əʊ p ˈ æ θ ɪ k
psychopathology,s ˌ aɪ k əʊ p ɐ θ ˈ ɒ l ə d ʒ i
psychopath,s ˈ aɪ k əʊ p ˌ ɑː θ
psychopaths,s ˈ aɪ k əʊ p ˌ ɑː θ s
psychopathy,s aɪ k ˈ əʊ p ə θ i
psycho,s ˈ aɪ k əʊ
psychosexual,s ˌ aɪ k əʊ s ˈ ɛ k ʃ uː ə l
psychosis,s aɪ k ˈ əʊ s ɪ s
psychosomatic,s ˌ aɪ k əʊ s ə m ˈ æ t ɪ k
psychos,s ˈ aɪ k əʊ z
psychotherapeutic,s ˌ aɪ k əʊ θ ˌ ɛ ɹ ə p j ˈ uː t ɪ k
psychotherapist,s ˈ aɪ k əʊ θ ˌ ɛ ɹ ə p ˌ ɪ s t
psychotherapists,s ˈ aɪ k əʊ θ ˌ ɛ ɹ ə p ˌ ɪ s t s
psychotherapy,s ˈ aɪ k əʊ θ ˌ ɛ ɹ ə p i
psychotically,s aɪ k ˈ ɒ t ɪ k l i
psychotic,s aɪ k ˈ ɒ t ɪ k
psychotics,s aɪ k ˈ ɒ t ɪ k s
psychotropic,s ˌ aɪ k əʊ t ɹ ˈ ɒ p ɪ k
psych,s ˈ aɪ k
psychs,s ˈ aɪ k z
ptarmigan,t ˈ ɑː m ɪ ɡ ə n
pterodactyls,t ˈ ɛ ɹ ə d ˌ æ k t aɪ l z
pterodactyl,t ˈ ɛ ɹ ə d ˌ æ k t aɪ l
pterosaurs,t ˈ ɛ ɹ ə s ˌ ɔː z
pterosaur,t ˈ ɛ ɹ ə s ˌ ɔː
ptomaine,t ˈ ɒ m eɪ n
puberty,p j ˈ uː b ə t i
pubescent,p j uː b ˈ ɛ s ə n t
pubes,p j ˈ uː b z
pubic,p j ˈ uː b ɪ k
pubis,p j ˈ uː b ɪ s
publican,p ˈ ʌ b l ɪ k ə n
publicans,p ˈ ʌ b l ɪ k ə n z
publication,p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n
publications,p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n z
publicised,p ˈ ʌ b l ɪ s ˌ aɪ z d
publicise,p ˈ ʌ b l ɪ s ˌ aɪ z
publicising,p ˈ ʌ b l ɪ s ˌ aɪ z ɪ ŋ
publicist,p ˈ ʌ b l ɪ s ˌ ɪ s t
publicists,p ˈ ʌ b l ɪ s ˌ ɪ s t s
publicity,p ʌ b l ˈ ɪ s ɪ t i
publicly,p ˈ ʌ b l ɪ k l i
public,p ˈ ʌ b l ɪ k
publishable,p ˈ ʌ b l ɪ ʃ ə b ə l
published,p ˈ ʌ b l ɪ ʃ t
publisher,p ˈ ʌ b l ɪ ʃ ɐ
publishers,p ˈ ʌ b l ɪ ʃ ə z
publishes,p ˈ ʌ b l ɪ ʃ ɪ z
publishing,p ˈ ʌ b l ɪ ʃ ɪ ŋ
publish,p ˈ ʌ b l ɪ ʃ
pub,p ˈ ʌ b
pubs,p ˈ ʌ b z
puce,p j ˈ uː s
pucka,p ˈ ʌ k ɐ
puckered,p ˈ ʌ k ə d
puckering,p ˈ ʌ k ə ɹ ɪ ŋ
pucker,p ˈ ʌ k ɐ
puckers,p ˈ ʌ k ə z
puckish,p ˈ ʌ k ɪ ʃ
puck,p ˈ ʌ k
pucks,p ˈ ʌ k s
pudding,p ˈ ʊ d ɪ ŋ
puddings,p ˈ ʊ d ɪ ŋ z
puddled,p ˈ ʌ d ə l d
puddle,p ˈ ʌ d ə l
puddles,p ˈ ʌ d ə l z
puddling,p ˈ ʌ d l ɪ ŋ
pudendum,p j ˈ uː d ə n d ə m
pudgy,p ˈ ʌ d ʒ i
pud,p ˈ ʊ d
puds,p ˈ ʊ d z
pueblo,p j ˈ uː b l əʊ
puerile,p j ˈ uː ɹ aɪ l
puerperal,p j ˈ uː ə p ə ɹ ə l
puffball,p ˈ ʌ f b ɔː l
puffballs,p ˈ ʌ f b ɔː l z
puffed,p ˈ ʌ f t
puffer,p ˈ ʌ f ɐ
puffers,p ˈ ʌ f ə z
puffery,p ˈ ʌ f ə ɹ i
puffier,p ˈ ʌ f ɪ ɐ
puffiness,p ˈ ʌ f ɪ n ə s
puffing,p ˈ ʌ f ɪ ŋ
puffin,p ˈ ʌ f ɪ n
puffins,p ˈ ʌ f ɪ n z
puff,p ˈ ʌ f
puffs,p ˈ ʌ f s
puffy,p ˈ ʌ f i
pugilism,p j ˈ uː d ʒ ɪ l ˌ ɪ z ə m
pugilistic,p j ˌ uː d ʒ ɪ l ˈ ɪ s t ɪ k
pugilist,p j ˈ uː d ʒ ɪ l ˌ ɪ s t
pugilists,p j ˈ uː d ʒ ɪ l ˌ ɪ s t s
pugnacious,p ʌ ɡ n ˈ eɪ ʃ ə s
pug,p ˈ ʌ ɡ
pugs,p ˈ ʌ ɡ z
puissance,p j ˈ uː ɪ s ə n s
puissant,p j ˈ uː ɪ s ə n t
puked,p j ˈ uː k t
puke,p j ˈ uː k
pukes,p j ˈ uː k s
puking,p j ˈ uː k ɪ ŋ
pukka,p ˈ ʌ k ɐ
pula,p j ˈ ʊ l ɐ
puled,p j ˈ uː l d
pullback,p ˈ ʊ l b æ k
pullbacks,p ˈ ʊ l b æ k s
pulled,p ˈ ʊ l d
puller,p ˈ ʊ l ɐ
pullers,p ˈ ʊ l ə z
pullet,p ˈ ʊ l ɪ t
pullets,p ˈ ʊ l ɪ t s
pulley,p ˈ ʊ l i
pulleys,p ˈ ʊ l ɪ z
pulling,p ˈ ʊ l ɪ ŋ
pullout,p ˈ ʊ l aʊ t
pullover,p ˈ ʊ l əʊ v ɐ
pullovers,p ˈ ʊ l əʊ v ə z
pull,p ˈ ʊ l
pulls,p ˈ ʊ l z
pullulating,p ˈ ʊ l j ʊ l ˌ eɪ t ɪ ŋ
pulmonary,p ˈ ʌ l m ə n ə ɹ i
pulped,p ˈ ʌ l p t
pulping,p ˈ ʌ l p ɪ ŋ
pulpit,p ˈ ʌ l p ɪ t
pulpits,p ˈ ʌ l p ɪ t s
pul,p ˈ ʌ l
pulp,p ˈ ʌ l p
pulps,p ˈ ʌ l p s
pulpy,p ˈ ʌ l p i
pulsar,p ˈ ʌ l s ɑː
pulsars,p ˈ ʌ l s ɑː z
pulsated,p ˈ ʌ l s eɪ t ɪ d
pulsate,p ˈ ʌ l s eɪ t
pulsates,p ˈ ʌ l s eɪ t s
pulsating,p ˈ ʌ l s eɪ t ɪ ŋ
pulsation,p ʌ l s ˈ eɪ ʃ ə n
pulsations,p ʌ l s ˈ eɪ ʃ ə n z
pulsed,p ˈ ʌ l z d
pulse,p ˈ ʌ l s
pulses,p ˈ ʌ l s ɪ z
pulsing,p ˈ ʌ l s ɪ ŋ
pulverised,p ˈ ʌ l v ə ɹ ˌ aɪ z d
pulverise,p ˈ ʌ l v ə ɹ ˌ aɪ z
pulverises,p ˈ ʌ l v ə ɹ ˌ aɪ z ɪ z
pulverising,p ˈ ʌ l v ə ɹ ˌ aɪ z ɪ ŋ
puma,p ˈ uː m ɐ
pumas,p ˈ uː m ə z
pumice,p j ˈ uː m ɪ s
pummelled,p ˈ ʌ m ə l d
pummelling,p ˈ ʌ m ə l ɪ ŋ
pummel,p ˈ ʌ m ə l
pummels,p ˈ ʌ m ə l z
pumped,p ˈ ʌ m p t
pumpernickel,p ˈ ʌ m p ə n ˌ ɪ k ə l
pumper,p ˈ ʌ m p ɐ
pumping,p ˈ ʌ m p ɪ ŋ
pumpkin,p ˈ ʌ m p k ɪ n
pumpkins,p ˈ ʌ m p k ɪ n z
pump,p ˈ ʌ m p
pumps,p ˈ ʌ m p s
punchbag,p ˈ ʌ n t ʃ b æ ɡ
punchbags,p ˈ ʌ n t ʃ b æ ɡ z
punchball,p ˈ ʌ n t ʃ b ɔː l
punchbowl,p ˈ ʌ n t ʃ b əʊ l
punched,p ˈ ʌ n t ʃ t
puncheon,p ˈ ʌ n t ʃ ə n
puncher,p ˈ ʌ n t ʃ ɐ
punchers,p ˈ ʌ n t ʃ ə z
punches,p ˈ ʌ n t ʃ ɪ z
punchier,p ˈ ʌ n t ʃ ɪ ɐ
punching,p ˈ ʌ n t ʃ ɪ ŋ
punchline,p ˈ ʌ n t ʃ l aɪ n
punchlines,p ˈ ʌ n t ʃ l aɪ n z
punch,p ˈ ʌ n t ʃ
punchy,p ˈ ʌ n t ʃ i
punctilious,p ʌ ŋ k t ˈ ɪ l ɪə s
punctuality,p ˌ ʌ ŋ k t ʃ uː ˈ æ l ɪ t i
punctually,p ˈ ʌ ŋ k t ʃ uː ə l i
punctual,p ˈ ʌ ŋ k t ʃ uː ə l
punctuated,p ˈ ʌ ŋ k t ʃ uː ˌ eɪ t ɪ d
punctuate,p ˈ ʌ ŋ k t ʃ uː ˌ eɪ t
punctuates,p ˈ ʌ ŋ k t ʃ uː ˌ eɪ t s
punctuating,p ˈ ʌ ŋ k t ʃ uː ˌ eɪ t ɪ ŋ
punctuation,p ˌ ʌ ŋ k t ʃ uː ˈ eɪ ʃ ə n
punctuations,p ˌ ʌ ŋ k t ʃ uː ˈ eɪ ʃ ə n z
punctured,p ˈ ʌ ŋ k t ʃ ə d
puncture,p ˈ ʌ ŋ k t ʃ ɐ
punctures,p ˈ ʌ ŋ k t ʃ ə z
puncturing,p ˈ ʌ ŋ k t ʃ ə ɹ ɪ ŋ
pundit,p ˈ ʌ n d ɪ t
punditry,p ˈ ʌ n d ɪ t ɹ i
pundits,p ˈ ʌ n d ɪ t s
pungency,p ˈ ʌ n d ʒ ə n s i
pungently,p ˈ ʌ n d ʒ ə n t l i
pungent,p ˈ ʌ n d ʒ ə n t
pung,p ˈ ʌ ŋ
pungs,p ˈ ʌ ŋ z
