headword,pronunciation
SHIPPS,ˈ ʃ ɪ p s
SHIPPY,ˈ ʃ ɪ p i
SHIPS,ˈ ʃ ɪ p s
SHIPS',ˈ ʃ ɪ p s
SHIPSHAPE,ˈ ʃ ɪ p ˌ ʃ eɪ p
SHIPTON,ˈ ʃ ɪ p t ə n
SHIPWASH,ˈ ʃ ɪ p ˌ w ɑː ʃ
SHIPWRECK,ˈ ʃ ɪ p ɹ ɛ k
SHIPWRIGHT,ˈ ʃ ɪ ˌ p ɹ aɪ t
SHIPWRIGHTS,ˈ ʃ ɪ ˌ p ɹ aɪ t s
SHIPYARD,ˈ ʃ ɪ ˌ p j ɑː ɹ d
SHIPYARD'S,ˈ ʃ ɪ ˌ p j ɑː ɹ d z
SHIPYARDS,ˈ ʃ ɪ ˌ p j ɑː ɹ d z
SHIR,ˈ ʃ ɝː
SHIRA,ˈ ʃ ɪ ɹ ə
SHIRAH,ˈ ʃ ɪ ɹ ə
SHIRAISHI,ʃ ɪ ɹ ɑː ˈ iː ʃ i
SHIRAZI,ʃ ɪ ˈ ɹ ɑː z i
SHIRE,ˈ ʃ aɪ ɹ
SHIRELL,ʃ ɪ ˈ ɹ ɛ l
SHIRELLE,ʃ ɪ ˈ ɹ ɛ l
SHIREMAN,ʃ ɪ ˈ ɹ eɪ m ə n
SHIREMANSTOWN,ˈ ʃ aɪ ɹ m ə n z ˌ t aʊ n
SHIRER,ˈ ʃ aɪ ɝ ɹ
SHIRES,ˈ ʃ aɪ ɹ z
SHIREY,ˈ ʃ aɪ ɹ i
SHIRIN,ˈ ʃ ɪ ɹ ə n
SHIRK,ˈ ʃ ɝː k
SHIRKED,ˈ ʃ ɝː k t
SHIRKEY,ˈ ʃ ɝː k i
SHIRKING,ˈ ʃ ɝː k ɪ ŋ
SHIRL,ˈ ʃ ɝː l
SHIRLEE,ˈ ʃ ɝː l i
SHIRLEEN,ʃ ɝ ˈ l iː n
SHIRLENE,ˈ ʃ ɝː l iː n
SHIRLEY,ˈ ʃ ɝː l i
SHIRLEY'S,ˈ ʃ ɝː l iː z
SHIRLIE,ˈ ʃ ɝː l i
SHIROMA,ʃ ɪ ˈ ɹ oʊ m ə
SHIRONE,ʃ ɪ ˈ ɹ oʊ n
SHIRR,ˈ ʃ ɝː
SHIRRELL,ˌ ʃ ɝː ˈ ɛ l
SHIRT,ˈ ʃ ɝː t
SHIRTED,ˈ ʃ ɝː t ə d
SHIRTING,ˈ ʃ ɝː t ɪ ŋ
SHIRTS,ˈ ʃ ɝː t s
SHIRTSLEEVE,ˈ ʃ ɝː t ˌ s l iː v
SHISEIDO,ʃ ɪ ˈ s eɪ d oʊ
SHISHIDO,ʃ iː ˈ ʃ iː d oʊ
SHISLER,"ˈ ʃ ɪ s ə l ɝ , ˈ ʃ ɪ s l ɝ"
SHISSLER,ˈ ʃ ɪ s l ɝ
SHIT,ˈ ʃ ɪ t
SHITHEAD,ˈ ʃ ɪ t ˌ h ɛ d
SHITHOLE,ˈ ʃ ɪ t ˌ h oʊ l
SHITILA,ʃ ə ˈ t ɪ l ə
SHITS,ˈ ʃ ɪ t
SHITSTORM,ˈ ʃ ɪ t ˌ s t ɔ ɹ m
SHITTING,ˈ ʃ ɪ t ɪ ŋ
SHITTY,ˈ ʃ ɪ ˌ t iː
SHIU,ˈ ʃ uː
SHIVA,ˈ ʃ iː v ə
SHIVE,ˈ ʃ aɪ v
SHIVELEY,"ˈ ʃ ɪ v ɪ l i , ˈ ʃ ɪ v l i"
SHIVELY,ˈ ʃ aɪ v l i
SHIVER,ˈ ʃ ɪ v ɝ
SHIVERDECKER,ˈ ʃ ɪ v ɝ d ɪ k ɝ
SHIVERED,ˈ ʃ ɪ v ɝ d
SHIVERING,ˈ ʃ ɪ v ɝ ɪ ŋ
SHIVERS,ˈ ʃ ɪ v ɝ z
SHIVES,ˈ ʃ aɪ v z
SHIVLEY,ˈ ʃ ɪ v l i
SHIYUAN,ˈ ʃ iː uː ɑː n
SHIZUKA,ʃ ɪ ˈ z uː k ə
SHIZUOKA,ʃ iː z ˈ w oʊ k ə
SHLAES,ˈ ʃ l eɪ z
SHLENKER,ˈ ʃ l ɛ ŋ k ɝ
SHLOBIDAN,ʃ l oʊ ˈ b ɪ d ə n
SHMOOZE,ˈ ʃ m uː z
SHMOOZER,ˈ ʃ m uː z ɝ
SHMOOZING,ˈ ʃ m uː z ɪ ŋ
SHMYREV,ˈ ʃ m iː ˌ ɹ ɛ v
SHOAF,ˈ ʃ oʊ f
SHOAFF,ˈ ʃ oʊ f
SHOALS,ˈ ʃ oʊ l z
SHOBANA,ˌ ʃ oʊ ˈ b ɑː n ə
SHOBANA'S,ˌ ʃ oʊ ˈ b ɑː n ə z
SHOBANNA,ˌ ʃ oʊ ˈ b ɑː n ə
SHOBANNA'S,ˌ ʃ oʊ ˈ b ɑː n ə z
SHOBE,ˈ ʃ oʊ b
SHOBER,ˈ ʃ oʊ b ɝ
SHOBERG,ˈ ʃ oʊ b ɝ g
SHOBERT,ˈ ʃ ɑː b ɝ t
SHOCK,ˈ ʃ ɑː k
SHOCKED,ˈ ʃ ɑː k t
SHOCKER,ˈ ʃ ɑː k ɝ
SHOCKEY,ˈ ʃ ɑː k i
SHOCKING,ˈ ʃ ɑː k ɪ ŋ
SHOCKINGLY,ˈ ʃ ɑː k ɪ ŋ l i
SHOCKLEY,ˈ ʃ ɑː k l i
SHOCKS,ˈ ʃ ɑː k s
SHOCKWAVE,ˈ ʃ ɑː ˌ k w eɪ v
SHOCKWAVES,ˈ ʃ ɑː ˌ k w eɪ v z
SHOD,ˈ ʃ ɑː d
SHODDY,ˈ ʃ ɑː d i
SHOE,ˈ ʃ uː
SHOE'S,ˈ ʃ uː z
SHOEBOX,ˈ ʃ uː b ɑː k s
SHOEHORN,ˈ ʃ uː ˌ h ɔ ɹ n
SHOEHORNED,ˈ ʃ uː h ɔ ɹ n d
SHOELACE,ˈ ʃ uː ˌ l eɪ s
SHOELACES,ˈ ʃ uː ˌ l eɪ s ɪ z
SHOEMAKE,ˈ ʃ uː ˌ m eɪ k
SHOEMAKER,ˈ ʃ uː ˌ m eɪ k ɝ
SHOEMAKERS,ˈ ʃ uː ˌ m eɪ k ɝ z
SHOEMATE,ˈ ʃ uː ˌ m eɪ t
SHOEN,ˈ ʃ uː n
SHOEPRINT,ˈ ʃ uː ˌ p ɹ ɪ n t
SHOEPRINTS,ˈ ʃ uː ˌ p ɹ ɪ n t s
SHOES,ˈ ʃ uː z
SHOESHINE,ˈ ʃ uː ˌ ʃ aɪ n
SHOESTRING,ˈ ʃ uː ˌ s t ɹ ɪ ŋ
SHOFF,ˈ ʃ ɔ f
SHOFFNER,ˈ ʃ ɔ f n ɝ
SHOFNER,ˈ ʃ ɑː f n ɝ
SHOGREN,ˈ ʃ ɑː g ɹ ɛ n
SHOGUN,ˈ ʃ oʊ g ə n
SHOHAT,ˈ ʃ oʊ h æ t
SHOICHI,ʃ oʊ ˈ iː t ʃ i
SHOICHIRO,ˌ ʃ oʊ ɪ ˈ t ʃ ɪ ɹ oʊ
SHOJI,ˈ ʃ oʊ d ʒ i
SHOKHIN,ˈ ʃ oʊ ˌ k ɪ n
SHOKO,ˈ ʃ oʊ k oʊ
SHOLAR,ˈ ʃ oʊ l ɝ
SHOLEM,ˈ ʃ oʊ l ə m
SHOLES,ˈ ʃ oʊ l z
SHOLL,ˈ ʃ ɑː l
SHOLLENBERGER,ˈ ʃ ɑː l ə n b ɝ g ɝ
SHOLLY,ˈ ʃ ɑː l i
SHOLTIS,ˈ ʃ oʊ l t ɪ s
SHOLTO,ˈ ʃ oʊ l t oʊ
SHOMAKER,ˈ ʃ oʊ ˌ m eɪ k ɝ
SHOMO,ˈ ʃ oʊ m oʊ
SHON,ˈ ʃ ɑː n
SHONA,ˈ ʃ oʊ n ə
SHONE,ˈ ʃ oʊ n
SHONEY,ˈ ʃ oʊ n i
SHONEY'S,ˈ ʃ oʊ n iː z
SHONK,ˈ ʃ ɑː ŋ k
SHONKA,ˈ ʃ ɑː ŋ k ə
SHONKWILER,ˈ ʃ ɑː ŋ ˌ k w aɪ l ɝ
SHONTZ,ˈ ʃ ɑː n t s
SHOO,ˈ ʃ uː
SHOOB,ˈ ʃ uː b
SHOOED,ˈ ʃ uː d
SHOOFLY,ˈ ʃ uː ˌ f l aɪ
SHOOK,ˈ ʃ ʊ k
SHOOP,ˈ ʃ uː p
SHOOPMAN,ˈ ʃ uː p m ə n
SHOOSHAN,ˈ ʃ uː ʃ ə n
SHOOT,ˈ ʃ uː t
SHOOTDOWN,ˈ ʃ uː t ˌ d aʊ n
SHOOTER,ˈ ʃ uː t ɝ
SHOOTER'S,ˈ ʃ uː t ɝ z
SHOOTERS,ˈ ʃ uː t ɝ z
SHOOTIN',ˈ ʃ uː t ɪ n
SHOOTING,ˈ ʃ uː t ɪ ŋ
SHOOTINGS,ˈ ʃ uː t ɪ ŋ z
SHOOTOUT,ˈ ʃ uː t aʊ t
SHOOTOUTS,ˈ ʃ uː t aʊ t s
SHOOTS,ˈ ʃ uː t s
SHOP,ˈ ʃ ɑː p
SHOP'S,ˈ ʃ ɑː p s
SHOPE,ˈ ʃ oʊ p
SHOPKEEPER,ˈ ʃ ɑː p ˌ k iː p ɝ
SHOPKEEPER'S,ˈ ʃ ɑː p ˌ k iː p ɝ z
SHOPKEEPERS,ˈ ʃ ɑː p ˌ k iː p ɝ z
SHOPKO,ˈ ʃ ɑː p k oʊ
SHOPKORN,ˈ ʃ ɑː p ˌ k ɔ ɹ n
SHOPLIFT,ˈ ʃ ɑː ˌ p l ɪ f t
SHOPLIFTER,ˈ ʃ ɑː ˌ p l ɪ f t ɝ
SHOPLIFTERS,ˈ ʃ ɑː ˌ p l ɪ f t ɝ z
SHOPLIFTING,ˈ ʃ ɑː ˌ p l ɪ f t ɪ ŋ
SHOPLIFTS,ˈ ʃ ɑː ˌ p l ɪ f t s
SHOPPE,ˈ ʃ ɑː p
SHOPPED,ˈ ʃ ɑː p t
SHOPPER,ˈ ʃ ɑː p ɝ
SHOPPER'S,ˈ ʃ ɑː p ɝ z
SHOPPERS,ˈ ʃ ɑː p ɝ z
SHOPPERS',ˈ ʃ ɑː p ɝ z
SHOPPES,ˈ ʃ ɑː p s
SHOPPING,ˈ ʃ ɑː p ɪ ŋ
SHOPPING'S,ˈ ʃ ɑː p ɪ ŋ z
SHOPS,ˈ ʃ ɑː p s
SHOPTAW,ˈ ʃ ɑː p t ɔ
SHOPWELL,ˈ ʃ ɑː p ˌ w ɛ l
SHOPWORN,ˈ ʃ ɑː p ˌ w ɔ ɹ n
SHOR,ˈ ʃ ɔ ɹ
SHORB,ˈ ʃ ɔ ɹ b
SHORE,ˈ ʃ ɔ ɹ
SHORE'S,ˈ ʃ ɔ ɹ z
SHOREBIRD,ˈ ʃ ɔ ɹ ˌ b ɝː d
SHORED,ˈ ʃ ɔ ɹ d
SHOREHAM,"ˈ ʃ ɔ ɹ ə m , ˈ ʃ ɔ ɹ ˌ h æ m"
SHORELINE,ˈ ʃ ɔ ɹ ˌ l aɪ n
SHORENSTEIN,"ˈ ʃ ɔ ɹ ə n s t iː n , ˈ ʃ ɔ ɹ ə n s t aɪ n"
SHORES,ˈ ʃ ɔ ɹ z
SHOREWARD,ˈ ʃ ɔ ɹ w ɝ d
SHOREY,ˈ ʃ ɔ ɹ i
SHORIN,ˈ ʃ ɔ ɹ ɪ n
SHORING,ˈ ʃ ɔ ɹ ɪ ŋ
SHORKEY,ˈ ʃ ɔ ɹ k i
SHORN,ˈ ʃ ɔ ɹ n
SHORR,ˈ ʃ ɔ ɹ
SHORT,ˈ ʃ ɔ ɹ t
SHORT-LIVED,ˌ ʃ ɔ ɹ t ˈ l ɪ v d
SHORT-SIGHTED,ˌ ʃ ɔ ɹ t ˈ s aɪ t ə d
SHORT-TERM,ˌ ʃ ɔ ɹ t ˈ t ɝː m
SHORT-WINDED,ˈ ʃ ɔ ɹ ˈ t w ɪ n d ɪ d
SHORTAGE,"ˈ ʃ ɔ ɹ t ə d ʒ , ˈ ʃ ɔ ɹ t ɪ d ʒ"
SHORTAGES,"ˈ ʃ ɔ ɹ t ə d ʒ ə z , ˈ ʃ ɔ ɹ t ɪ d ʒ ɪ z"
SHORTALL,ˈ ʃ ɔ ɹ t ə l
SHORTCAKE,ˈ ʃ ɔ ɹ t ˌ k eɪ k
SHORTCHANGE,ˌ ʃ ɔ ɹ t ˈ t ʃ eɪ n d ʒ
SHORTCHANGED,ˌ ʃ ɔ ɹ t ˈ t ʃ eɪ n d ʒ d
SHORTCHANGING,ˌ ʃ ɔ ɹ t ˈ t ʃ eɪ n d ʒ ɪ ŋ
SHORTCOMING,ˈ ʃ ɔ ɹ t ˌ k ə m ɪ ŋ
SHORTCOMINGS,ˈ ʃ ɔ ɹ t ˌ k ə m ɪ ŋ z
SHORTCUT,ˈ ʃ ɔ ɹ t ˌ k ə t
SHORTCUTS,ˈ ʃ ɔ ɹ t ˌ k ə t s
SHORTED,ˈ ʃ ɔ ɹ t ɪ d
SHORTELL,ʃ ɔ ɹ ˈ t ɛ l
SHORTEN,ˈ ʃ ɔ ɹ t ə n
SHORTENED,ˈ ʃ ɔ ɹ t ə n d
SHORTENING,"ˈ ʃ ɔ ɹ t ə n ɪ ŋ , ˈ ʃ ɔ ɹ t n ɪ ŋ"
SHORTENS,ˈ ʃ ɔ ɹ t ə n z
SHORTER,ˈ ʃ ɔ ɹ t ɝ
SHORTER'S,ˈ ʃ ɔ ɹ t ɝ z
SHORTEST,ˈ ʃ ɔ ɹ t ɪ s t
SHORTFALL,ˈ ʃ ɔ ɹ t ˌ f ɔ l
SHORTFALLS,ˈ ʃ ɔ ɹ t ˌ f ɔ l z
SHORTGRASS,ˈ ʃ ɔ ɹ t ˌ g ɹ æ s
SHORTHAIR,ˈ ʃ ɔ ɹ t ˌ h ɛ ɹ
SHORTHAIRED,ˈ ʃ ɔ ɹ t ˌ h ɛ ɹ d
SHORTHAND,ˈ ʃ ɔ ɹ t ˌ h æ n d
SHORTING,ˈ ʃ ɔ ɹ t ɪ ŋ
SHORTLIVED,"ˈ ʃ ɔ ɹ t ˈ l ɪ v d , ˈ ʃ ɔ ɹ t ˈ l aɪ v d"
SHORTLY,ˈ ʃ ɔ ɹ t l i
SHORTNESS,ˈ ʃ ɔ ɹ t n ə s
SHORTRIDGE,ˈ ʃ ɔ ɹ t ɹ ɪ d ʒ
SHORTS,ˈ ʃ ɔ ɹ t s
SHORTS',ˈ ʃ ɔ ɹ t s
SHORTSIGHTED,ˈ ʃ ɔ ɹ t ˈ s aɪ t ɪ d
SHORTSIGHTEDNESS,ˈ ʃ ɔ ɹ t ˈ s aɪ t ɪ d n ɪ s
SHORTSTOP,ˈ ʃ ɔ ɹ t ˌ s t ɑː p
SHORTT,ˈ ʃ ɔ ɹ t
SHORTTERM,ˈ ʃ ɔ ɹ t ˌ t ɝː m
SHORTWAVE,ˈ ʃ ɔ ɹ ˈ t w eɪ v
SHORTY,ˈ ʃ ɔ ɹ t i
SHORTZ,ˈ ʃ ɔ ɹ t s
SHORTZ',ˈ ʃ ɔ ɹ t s
SHORTZ'S,ˈ ʃ ɔ ɹ t s ɪ z
SHOSH,ˈ ʃ oʊ ʃ
SHOSHONE,ʃ oʊ ˈ ʃ oʊ n i
SHOSTAK,ˈ ʃ ɑː s t ə k
SHOSTAKOVICH,ˌ ʃ ɔ s t ə ˈ k oʊ v ɪ t ʃ
SHOT,ˈ ʃ ɑː t
SHOTGUN,ˈ ʃ ɑː t ˌ g ə n
SHOTGUNS,ˈ ʃ ɑː t ˌ g ə n z
SHOTS,ˈ ʃ ɑː t s
SHOTT,ˈ ʃ ɑː t
SHOTTS,ˈ ʃ ɑː t s
SHOTWELL,ˈ ʃ ɑː ˌ t w ɛ l
SHOUGANG,ˈ ʃ aʊ ˈ g ɑː ŋ
SHOUGH,ˈ ʃ aʊ
SHOULD,ˈ ʃ ʊ d
SHOULD'VE,ˈ ʃ ʊ d ə v
SHOULDER,ˈ ʃ oʊ l d ɝ
SHOULDERED,ˈ ʃ oʊ l d ɝ d
SHOULDERING,ˈ ʃ oʊ l d ɝ ɪ ŋ
SHOULDERS,ˈ ʃ oʊ l d ɝ z
SHOULDN'T,ˈ ʃ ʊ d ə n t
SHOULI,ˈ ʃ uː l i
SHOULTS,ˈ ʃ oʊ l t s
SHOULTZ,ˈ ʃ oʊ l t s
SHOUMAKER,ˈ ʃ uː ˌ m eɪ k ɝ
SHOUN,ˈ ʃ aʊ n
SHOUP,ˈ ʃ uː p
SHOUPE,ˈ ʃ uː p
SHOUSE,s ˈ h aʊ s
SHOUT,ˈ ʃ aʊ t
SHOUTED,"ˈ ʃ aʊ t ə d , ˈ ʃ aʊ t ɪ d"
SHOUTING,ˈ ʃ aʊ t ɪ ŋ
SHOUTS,ˈ ʃ aʊ t s
SHOVAL,ˈ ʃ oʊ v æ l
SHOVE,ˈ ʃ ʌ v
SHOVED,ˈ ʃ ʌ v d
SHOVEL,ˈ ʃ ʌ v ə l
SHOVELED,ˈ ʃ ʌ v ə l d
SHOVELING,ˈ ʃ ʌ v l ɪ ŋ
SHOVELS,ˈ ʃ ʌ v ə l z
SHOVER,ˈ ʃ ʌ v ɝ
SHOVES,ˈ ʃ ʌ v z
SHOVING,ˈ ʃ ʌ v ɪ ŋ
SHOVLIN,ˈ ʃ ɑː v l ɪ n
SHOW,ˈ ʃ oʊ
SHOW'S,ˈ ʃ oʊ z
SHOWA,ˈ ʃ oʊ ə
SHOWALTER,ˈ ʃ oʊ ə l t ɝ
SHOWBIZ,ˈ ʃ oʊ b ɪ z
SHOWBOAT,ˈ ʃ oʊ ˌ b oʊ t
SHOWBOAT'S,ˈ ʃ oʊ ˌ b oʊ t s
SHOWBUZZ,ˈ ʃ oʊ ˌ b ə z
SHOWCASE,ˈ ʃ oʊ ˌ k eɪ s
SHOWCASED,ˈ ʃ oʊ ˌ k eɪ s t
SHOWCASES,ˈ ʃ oʊ ˌ k eɪ s ɪ z
SHOWCASING,ˈ ʃ oʊ k eɪ s ɪ ŋ
SHOWDOWN,ˈ ʃ oʊ ˌ d aʊ n
SHOWDOWNS,ˈ ʃ oʊ ˌ d aʊ n z
SHOWED,ˈ ʃ oʊ d
SHOWELL,ˈ ʃ ɑː w ɛ l
SHOWER,ˈ ʃ aʊ ɝ
SHOWERED,ˈ ʃ aʊ ɝ d
SHOWERING,ˈ ʃ aʊ ɝ ɪ ŋ
SHOWERS,ˈ ʃ aʊ ɝ z
SHOWGIRL,ˈ ʃ oʊ ˌ g ɝː l
SHOWGIRLS,ˈ ʃ oʊ ˌ g ɝː l z
SHOWIEST,ˈ ʃ oʊ iː ə s t
SHOWING,ˈ ʃ oʊ ɪ ŋ
SHOWINGS,ˈ ʃ oʊ ɪ ŋ z
SHOWMAN,ˈ ʃ oʊ m ə n
SHOWMANSHIP,ˈ ʃ oʊ m ə n ˌ ʃ ɪ p
SHOWN,ˈ ʃ oʊ n
SHOWPIECE,ˈ ʃ oʊ ˌ p iː s
SHOWPLACE,ˈ ʃ oʊ ˌ p l eɪ s
SHOWROOM,"ˈ ʃ oʊ ˌ ɹ ʊ m , ˈ ʃ oʊ ˌ ɹ uː m"
SHOWROOMS,ˈ ʃ oʊ ˌ ɹ uː m z
SHOWS,ˈ ʃ oʊ z
SHOWS',ˈ ʃ oʊ z
SHOWSCAN,ˈ ʃ oʊ ˌ s k æ n
SHOWTIME,ˈ ʃ oʊ ˌ t aɪ m
SHOWTIME'S,ˈ ʃ oʊ ˌ t aɪ m z
SHOWY,ˈ ʃ oʊ i
SHRADER,ˈ ʃ ɹ eɪ d ɝ
SHRAKE,ˈ ʃ ɹ eɪ k
SHRAMEK,ˈ ʃ ɹ æ m ɪ k
SHRANK,ˈ ʃ ɹ æ ŋ k
SHRAPNEL,ˈ ʃ ɹ æ p n ə l
SHRECK,ˈ ʃ ɹ ɛ k
SHRED,ˈ ʃ ɹ ɛ d
SHREDDED,"ˈ ʃ ɹ ɛ d ə d , ˈ ʃ ɹ ɛ d ɪ d"
SHREDDER,ˈ ʃ ɹ ɛ d ɝ
SHREDDERS,ˈ ʃ ɹ ɛ d ɝ z
SHREDDING,ˈ ʃ ɹ ɛ d ɪ ŋ
SHREDS,ˈ ʃ ɹ ɛ d z
SHREEVE,ˈ ʃ ɹ iː v
SHREFFLER,ˈ ʃ ɹ ɛ f l ɝ
SHREIBER,ˈ ʃ ɹ aɪ b ɝ
SHREINER,ˈ ʃ ɹ aɪ n ɝ
SHREK,ˈ ʃ ɹ ɛ k
SHREVE,ˈ ʃ ɹ iː v
SHREVEPORT,ˈ ʃ ɹ iː v ˌ p ɔ ɹ t
SHREVES,ˈ ʃ ɹ iː v z
SHREWD,ˈ ʃ ɹ uː d
SHREWDEST,ˈ ʃ ɹ uː d ə s t
SHREWDLY,ˈ ʃ ɹ uː d l i
SHREWDNESS,ˈ ʃ ɹ uː d n ə s
SHREWSBERRY,ˈ ʃ ɹ uː z ˌ b ɛ ɹ i
SHREWSBURY,ˈ ʃ ɹ uː z ˌ b ɛ ɹ i
SHRI,ˈ ʃ ɹ iː
SHRIBER,ˈ ʃ ɹ aɪ b ɝ
SHRIBMAN,ˈ ʃ ɹ ɪ b m ə n
SHRIDER,ˈ ʃ ɹ aɪ d ɝ
SHRIEK,ˈ ʃ ɹ iː k
SHRIEKED,ˈ ʃ ɹ iː k t
SHRIEKING,ˈ ʃ ɹ iː k ɪ ŋ
SHRIEKS,ˈ ʃ ɹ iː k s
SHRIFT,ˈ ʃ ɹ ɪ f t
SHRIKANT,ˌ ʃ ɹ iː ˈ k ɑː n t
SHRIKELIKE,ˈ ʃ ɹ aɪ ˌ k l aɪ k
SHRILL,ˈ ʃ ɹ ɪ l
SHRIMP,ˈ ʃ ɹ ɪ m p
SHRIMPER,ˈ ʃ ɹ ɪ m p ɝ
SHRIMPERS,ˈ ʃ ɹ ɪ m p ɝ z
SHRINE,ˈ ʃ ɹ aɪ n
SHRINER,ˈ ʃ ɹ aɪ n ɝ
SHRINERS,ˈ ʃ ɹ aɪ n ɝ z
SHRINES,ˈ ʃ ɹ aɪ n z
SHRINK,ˈ ʃ ɹ ɪ ŋ k
SHRINKAGE,ˈ ʃ ɹ ɪ ŋ k ɪ d ʒ
SHRINKING,ˈ ʃ ɹ ɪ ŋ k ɪ ŋ
SHRINKS,ˈ ʃ ɹ ɪ ŋ k s
SHRIVEL,ˈ ʃ ɹ ɪ v ə l
SHRIVELED,ˈ ʃ ɹ ɪ v ə l d
SHRIVELING,"ˈ ʃ ɹ ɪ v ə l ɪ ŋ , ˈ ʃ ɹ ɪ v l ɪ ŋ"
SHRIVER,ˈ ʃ ɹ aɪ v ɝ
SHROCK,ˈ ʃ ɹ ɑː k
SHRODE,ˈ ʃ ɹ oʊ d
SHROFF,ˈ ʃ ɹ ɔ f
SHRONTZ,ˈ ʃ ɹ ɑː n t s
SHROPSHIRE,ˈ ʃ ɹ ɑː p ˌ ʃ aɪ ɹ
SHROUD,ˈ ʃ ɹ aʊ d
SHROUDED,ˈ ʃ ɹ aʊ d ɪ d
SHROUDING,ˈ ʃ ɹ aʊ d ɪ ŋ
SHROUDS,ˈ ʃ ɹ aʊ d z
SHROUT,ˈ ʃ ɹ aʊ t
SHROYER,ˈ ʃ ɹ ɔɪ ɝ
SHRUB,ˈ ʃ ɹ ʌ b
SHRUBBERY,ˈ ʃ ɹ ʌ b ɝ i
SHRUBBY,ˈ ʃ ɹ ʌ b i
SHRUBLIKE,ˈ ʃ ɹ ʌ ˌ b l aɪ k
SHRUBS,ˈ ʃ ɹ ʌ b z
SHRUG,ˈ ʃ ɹ ʌ g
SHRUGGED,ˈ ʃ ɹ ʌ g d
SHRUGGING,ˈ ʃ ɹ ʌ g ɪ ŋ
SHRUGS,ˈ ʃ ɹ ʌ g z
SHRUM,ˈ ʃ ɹ ʌ m
SHRUNK,ˈ ʃ ɹ ʌ ŋ k
SHRUNKEN,ˈ ʃ ɹ ʌ ŋ k ə n
SHRYOCK,ˈ ʃ ɹ aɪ ɑː k
SHTICK,ʃ ˈ t ɪ k
SHTYROV,ʃ ˈ t iː ɹ ɔ v
SHU,ˈ ʃ uː
SHUART,ˈ ʃ uː ɝ t
SHUBERT,ˈ ʃ uː b ɝ t
SHUBIN,ˈ ʃ uː b ɪ n
SHUCHMAN,ˈ ʃ ʌ k m ə n
SHUCHMAN'S,ˈ ʃ ʌ k m ə n z
SHUCK,ˈ ʃ ʌ k
SHUCKED,ˈ ʃ ʌ k t
SHUCKING,ˈ ʃ ʌ k ɪ ŋ
SHUCKS,ˈ ʃ ʌ k s
SHUDA,ˈ ʃ uː d ə
SHUDDER,ˈ ʃ ʌ d ɝ
SHUDDERED,ˈ ʃ ʌ d ɝ d
SHUDDERING,ˈ ʃ ʌ d ɝ ɪ ŋ
SHUDDERS,ˈ ʃ ʌ d ɝ z
SHUE,ˈ ʃ uː
SHUEY,ˈ ʃ uː i
SHUFELT,ˈ ʃ uː f ɛ l t
SHUFF,ˈ ʃ ʌ f
SHUFFIELD,ˈ ʃ ʌ ˌ f iː l d
SHUFFLE,ˈ ʃ ʌ f ə l
SHUFFLED,ˈ ʃ ʌ f ə l d
SHUFFLER,"ˈ ʃ ʌ f ə l ɝ , ˈ ʃ ʌ f l ɝ"
SHUFFLERS,"ˈ ʃ ʌ f ə l ɝ z , ˈ ʃ ʌ f l ɝ z"
SHUFFLES,ˈ ʃ ʌ f ə l z
SHUFFLING,"ˈ ʃ ʌ f l ɪ ŋ , ˈ ʃ ʌ ˈ f ʊ l ɪ ŋ"
SHUFORD,ˈ ʃ uː f ɝ d
SHUFRO,ˈ ʃ ʌ f ɹ oʊ
SHUGARS,ˈ ʃ uː g ɝ z
SHUGART,ˈ ʃ ʌ g ɑː ɹ t
SHUGHART,ˈ ʃ ʌ ˌ g ɑː ɹ t
SHUGRUE,ˈ ʃ ʌ g ɹ uː
SHUI,ˈ ʃ uː i
SHUKLA,ˈ ʃ ʌ k l ə
SHUKRI,ˈ ʃ uː k ɹ i
SHULA,ˈ ʃ uː l ə
SHULAR,ˈ ʃ uː l ɝ
SHULDINER,ˈ ʃ uː l d ɪ ˌ n ɝː
SHULER,ˈ ʃ uː l ɝ
SHULL,ˈ ʃ ʌ l
SHULMAN,ˈ ʃ ʊ l m ə n
SHULTIS,ˈ ʃ ʌ l t ɪ s
SHULTS,ˈ ʃ ʌ l t s
SHULTZ,ˈ ʃ ʊ l t s
SHULTZ'S,ˈ ʃ ʊ l t ˈ s ɪ z
SHUM,ˈ ʃ ʌ m
SHUMAKE,ˈ ʃ uː ˌ m eɪ k
SHUMAKER,ˈ ʃ uː ˌ m eɪ k ɝ
SHUMAN,ˈ ʃ uː m ə n
SHUMARD,ˈ ʃ uː m ɝ d
SHUMATE,ˈ ʃ uː ˌ m eɪ t
SHUMEET,ʃ uː ˈ m iː t
SHUMER,ˈ ʃ uː m ɝ
SHUMPERT,ˈ ʃ ʌ m p ɝ t
SHUMSKY,ˈ ʃ ʌ m s k i
SHUMWAY,ˈ ʃ ʌ m ˌ w eɪ
SHUN,ˈ ʃ ʌ n
SHUNK,ˈ ʃ ʌ ŋ k
SHUNNED,ˈ ʃ ʌ n d
SHUNNING,ˈ ʃ ʌ n ɪ ŋ
SHUNS,ˈ ʃ ʌ n z
SHUNT,ˈ ʃ ʌ n t
SHUNTED,ˈ ʃ ʌ n t ɪ d
SHUNTING,ˈ ʃ ʌ n t ɪ ŋ
SHUNTO,ˈ ʃ ʌ n t oʊ
SHUNTS,ˈ ʃ ʌ n t s
SHUPE,ˈ ʃ uː p
SHUPERT,ˈ ʃ uː p ɝ t
